Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S005149    ,Nou Barris,Vilapicina i la Torre Llobeta,Fabra i Puig,Dimecres,2023,8,August,30,0,Night,Lack of driving attention,430955.47,4587052.09,2.172514669,41.430220151,2023-08-30 00:00:00
2023S003138    ,Nou Barris,Vilapicina i la Torre Llobeta,Fabra i Puig,Friday,2023,5,May,26,17,Afternoon,Unknown,431044.49,4587077.41,2.17357711,41.430455851,2023-05-26 17:00:00
2023S002911    ,Nou Barris,Vilapicina i la Torre Llobeta,Escòcia,Dimarts,2023,5,May,16,16,Afternoon,Gir indegut o sense precaució,431642.4,4586873.46,2.180755604,41.428670082,2023-05-16 16:00:00
2023S005934    ,Nou Barris,Vilapicina i la Torre Llobeta,Escòcia,Saturday,2023,10,October,7,14,Afternoon,Canvi de carril sense precaució,431622.86,4586884.34,2.180520536,41.42876641,2023-10-07 14:00:00
2023S007377    ,Nou Barris,Can Peguera,Capsec,Dimecres,2023,12,December,13,8,Morning,Canvi de carril sense precaució,430238.39,4587675.04,2.163861215,41.435768825,2023-12-13 08:00:00
2023S004781    ,Nou Barris,Vilapicina i la Torre Llobeta,Virrei Amat,Dilluns,2023,8,August,7,17,Afternoon,Manca precaució incorporació circulació,431098.9,4586960.03,2.174241642,41.429403323,2023-08-07 17:00:00
2023S005997    ,Nou Barris,Can Peguera,Riells,Dilluns,2023,10,October,9,22,Night,No determinada,430601.44,4587515.02,2.1682247,41.43435906,2023-10-09 22:00:00
2023S006471    ,Sant Andreu,la Sagrera,Vallès i Ribot,Dimecres,2023,11,November,1,17,Afternoon,Gir indegut o sense precaució,432317.88,4586209.49,2.188913493,41.422747149,2023-11-01 17:00:00
2023S000414    ,Nou Barris,Porta,Pintor Alsamora,Saturday,2023,1,January,21,17,Afternoon,Canvi de carril sense precaució,431256.5,4587712.15,2.176042077,41.43619091,2023-01-21 17:00:00
2023S007372    ,Nou Barris,Vilapicina i la Torre Llobeta,Ramon Albó,Dimarts,2023,12,December,12,20,Afternoon,Lack of driving attention,431347.03,4586778.61,2.177231673,41.427790596,2023-12-12 20:00:00
2023S001005    ,Nou Barris,Porta,Andreu Nin,Saturday,2023,2,February,18,11,Morning,Desobeir altres senyals,431791.07,4587776.85,2.182432739,41.43681925,2023-02-18 11:00:00
2023S002348    ,Nou Barris,Vilapicina i la Torre Llobeta,Fabra i Puig,Diumenge,2023,4,April,23,12,Morning,Altres,431360.13,4587054.3,2.177357118,41.430274759,2023-04-23 12:00:00
2023S004925    ,Nou Barris,Porta,Valldaura,Dimecres,2023,8,August,16,7,Morning,Unknown,431806.24,4588046.08,2.182583901,41.439245399,2023-08-16 07:00:00
2023S007548    ,Nou Barris,Porta,Escultor Ordóñez,Dimarts,2023,12,December,19,15,Afternoon,Lack of driving attention,431107.47,4587327.51,2.174302294,41.432713819,2023-12-19 15:00:00
2023S007548    ,Nou Barris,Porta,Escultor Ordóñez,Dimarts,2023,12,December,19,15,Afternoon,Avançament defectuós/improcedent,431107.47,4587327.51,2.174302294,41.432713819,2023-12-19 15:00:00
2023S007283    ,Nou Barris,Porta,Pintor Alsamora,Friday,2023,12,December,8,6,Morning,Gir indegut o sense precaució,431890.58,4587477.65,2.183657471,41.434132911,2023-12-08 06:00:00
2023S006554    ,Nou Barris,Porta,Pintor Alsamora,Diumenge,2023,11,November,5,14,Afternoon,No determinada,431788.2,4587509.78,2.182428552,41.4344136,2023-11-05 14:00:00
2023S004876    ,Nou Barris,Vilapicina i la Torre Llobeta,Arnau d'Oms,Saturday,2023,8,August,12,14,Afternoon,Canvi de carril sense precaució,431328.4,4586889.08,2.176996174,41.428783967,2023-08-12 14:00:00
2023S000257    ,Nou Barris,Porta,Andreu Nin,Saturday,2023,1,January,14,12,Morning,Canvi de carril sense precaució,431765.43,4587635.51,2.182141834,41.435544071,2023-01-14 12:00:00
2023S004315    ,Sant Andreu,la Trinitat Vella,Mare de Déu de Lorda,Dilluns,2023,7,July,17,8,Morning,No determinada,432684.77,4589473.29,2.192939903,41.452173969,2023-07-17 08:00:00
2023S000120    ,Sant Andreu,la Trinitat Vella,Favència,Saturday,2023,1,January,7,17,Afternoon,Manca precaució incorporació circulació,432696.87,4588930.56,2.193145279,41.447286803,2023-01-07 17:00:00
2023S001940    ,Unknown,Unknown,Unknown,Dimarts,2023,4,April,4,22,Night,Lack of driving attention,426553.57,4581377.45,2.120525176,41.378720526,2023-04-04 22:00:00
2023S000711    ,Unknown,Unknown,Unknown,Diumenge,2023,2,February,5,6,Morning,Lack of driving attention,431379.84,4581118.42,2.178266297,41.376813806,2023-02-05 06:00:00
2023S005063    ,Unknown,Unknown,Unknown,Friday,2023,8,August,25,17,Afternoon,Unknown,428306.07,4581589.52,2.141456049,41.380788706,2023-08-25 17:00:00
2023S000336    ,Unknown,Unknown,Unknown,Dimecres,2023,1,January,18,8,Morning,Canvi de carril sense precaució,425845.4,4575752.83,2.112744772,41.327996746,2023-01-18 08:00:00
2023S001845    ,Unknown,Unknown,Unknown,Friday,2023,3,March,31,13,Morning,Lack of driving attention,426451.5,4581657.08,2.119270698,41.381229711,2023-03-31 13:00:00
